"creator_nickname","creator_followers","creator_hearts_total","creator_video_count","creator_bio","creator_bio_link","creator_page_url","video_url","plays","likes","comments"
"audrey | somatic life coach",205900,3300000,1151,"advice my friends ignored podcast🎙️ coaching & micro-dosing links ⬇️",,"https://www.tiktok.com/@audreyabrothers","https://www.tiktok.com/@audreyabrothers/video/7390770343654231327",2300000,226600,1766
"Soph Mosca",2600000,182000000,2194,"26 she/her T1D | 🏳️‍🌈 eric@undercurrent.net",,"https://www.tiktok.com/@sophmosca","https://www.tiktok.com/@sophmosca/video/7532602431331372301",876400,134200,563
"Mel Robbins",5200000,65800000,2274,"Author, Podcaster, Friend 💚 The LET THEM Theory 🎧 The Mel Robbins Podcast",,"https://www.tiktok.com/@melrobbins","https://www.tiktok.com/@melrobbins/video/7446819377216802054",1000000,73900,723
"niki patton 💖",1700000,164600000,6102,"For the girls 💖🧸💞🤠🎀 📍LA Real Talk Pod ⤵️",,"https://www.tiktok.com/@niki_patton","https://www.tiktok.com/@niki_patton/video/7359682898930257198",238900,25900,235
"Natalie Bell",283600,18500000,2038,"@thecitysocial founder ✨ I like talking about love ♥️",,"https://www.tiktok.com/@natalie_bell","https://www.tiktok.com/@natalie_bell/video/7549905044162792717",504700,71900,590
".",78900,3100000,152,"Healing After a Breakup:a 21-day emotional detox eBook ✨ link below 💜",,"https://www.tiktok.com/@only__queen.s","https://www.tiktok.com/@only__queen.s/video/7490535030255652119",5800000,1200000,2463
"user50251086071",17100,811800,122,"No bio yet",,"https://www.tiktok.com/@_vanillamillaa","https://www.tiktok.com/@_vanillamillaa/video/7490493244258766088",1300000,145900,2124
"Sabrina Zohar",1300000,46200000,4101,"Cert. dating+relationship coach whos tired of BS. PODCAST-THE SABRINA ZOHAR SHOW",,"https://www.tiktok.com/@sabrina.zohar","https://www.tiktok.com/@sabrina.zohar/video/7489427606484323615",628400,73300,819
"gia",850600,62300000,1828,"ur bff instagram: @giaaldisert gia@evolvemodelmgmt.com",,"https://www.tiktok.com/@giaaldisert","https://www.tiktok.com/@giaaldisert/video/7465089252481617183",1500000,121900,276
"Bethenny Frankel",3300000,149300000,6457,"Inventor of the Skinny Margarita #JustBwithBethenny #Bstrong SHOP MY LINKS⬇️",,"https://www.tiktok.com/@bethennyfrankel","https://www.tiktok.com/@bethennyfrankel/video/7487659364577299754",534000,33000,790
"Heather Brown",37100,3100000,1554,"VT | Tampa @Oner Active | HEATHER",,"https://www.tiktok.com/@heathbrooo","https://www.tiktok.com/@heathbrooo/video/7460941489686826270",6200000,948400,5197
"chris | mental health",20700,2600000,351,"Helping you slay your mental demons. Sign up for mental health tips👇",,"https://www.tiktok.com/@mentalmartialarts","https://www.tiktok.com/@mentalmartialarts/video/7305958577909353771",41700,1970,151
"The Journey Podcast",656400,30700000,2149,"👇NEW EPISODE + MERCH👇",,"https://www.tiktok.com/@thejourneypodcast__","https://www.tiktok.com/@thejourneypodcast__/video/7274640865937706283",469900,31200,261
"Natalie Bell",283600,18500000,2038,"@thecitysocial founder ✨ I like talking about love ♥️",,"https://www.tiktok.com/@natalie_bell","https://www.tiktok.com/@natalie_bell/video/7491035412270599470",186600,19000,265
"Natalie Bell",283600,18500000,2038,"@thecitysocial founder ✨ I like talking about love ♥️",,"https://www.tiktok.com/@natalie_bell","https://www.tiktok.com/@natalie_bell/video/7414493861256514847",7200000,824600,4027
"Natalie Bell",283600,18500000,2038,"@thecitysocial founder ✨ I like talking about love ♥️",,"https://www.tiktok.com/@natalie_bell","https://www.tiktok.com/@natalie_bell/video/7418400426963291434",976200,107400,494
"Shelby Sacco",1500000,38000000,2238,"Shelby Sacco Spinek 🫶🏼 IG - @shelbysacco5 Contact - Shelby.Sacco@teamwass.com",,"https://www.tiktok.com/@shelbysacco5","https://www.tiktok.com/@shelbysacco5/video/7525214940072774926",1300000,136600,467
"Mel Robbins",5200000,65800000,2274,"Author, Podcaster, Friend 💚 The LET THEM Theory 🎧 The Mel Robbins Podcast",,"https://www.tiktok.com/@melrobbins","https://www.tiktok.com/@melrobbins/video/7447938124166024454",2000000,159800,1346
