"creator_nickname","creator_followers","creator_hearts_total","creator_video_count","creator_bio","creator_bio_link","creator_page_url","video_url","plays","likes","comments"
"Soma Chhaya",1900000,61400000,1194,"Your Manifestation BFF 💞🔒",,"https://www.tiktok.com/@somachhaya","https://www.tiktok.com/@somachhaya/video/7418584717018008875",148300,10600,129
"Jason Rau",106900,5000000,1554,"business - realtalkcoachingllc@gmail.com Join My Free Discord⤵️ Get Coached By Me💪⤵️ All My Socials📱⬇️",,"https://www.tiktok.com/@jason.rau","https://www.tiktok.com/@jason.rau/video/7509302657803095327",1100000,169100,714
"upspiral.life",1400000,8500000,1190,"Manifestation | Law Of Attraction 3.0 | Connect👇",,"https://www.tiktok.com/@upspiral.life","https://www.tiktok.com/@upspiral.life/video/7375963999415962926",1900000,214400,15100
"1%_Better",421200,9900000,216,"Learn how I gained over 200k followers in just 2 MONTHS. ↓",,"https://www.tiktok.com/@1prcnt_better","https://www.tiktok.com/@1prcnt_better/video/7490230235800046870",6200000,687200,1129
"vibrateandcreate",273300,4400000,232,"⚡️Raising Vibrations⚡️",,"https://www.tiktok.com/@vibrateandcreate","https://www.tiktok.com/@vibrateandcreate/video/7298804011581426987",3100000,216800,1099
"SEDLAK",2400000,120800000,3626,"Glory to God Insta : alexsedlak Download my free app and make $$$ from your phone ⬇️ ⬇️",,"https://www.tiktok.com/@alexsedlak1","https://www.tiktok.com/@alexsedlak1/video/7532558538674048311",3300000,410000,1209
"J4M (Check Bio)",949600,47800000,830,"Improve yourself daily. - Theme Page Training... - 👇Guides, Clips & more👇",,"https://www.tiktok.com/@just4motivation1","https://www.tiktok.com/@just4motivation1/video/7441998607852588310",3300000,406500,1074
"elliekayyyy",7337,1900000,466,"Psych student / wellness❤️ I 🫶🏼Jesus Podcast: HerHorizon IG: elliekayyyy",,"https://www.tiktok.com/@elliekayyyy","https://www.tiktok.com/@elliekayyyy/video/7464295084943592735",111700,15300,55
"Becoming with Lex",373200,5000000,805,"Cheatcodes to life ⭐️ Author @The Affirmation Book Start manifesting here ⬇️",,"https://www.tiktok.com/@becomingwithlex","https://www.tiktok.com/@becomingwithlex/video/7175567794585619755",2700000,274000,774
"anitamaeaguilar",324700,4600000,1855,,,"https://www.tiktok.com/@anitamaeaguilar","https://www.tiktok.com/@anitamaeaguilar/video/7313226443985669419",34400,830,23
"key to consciousness",168400,1200000,112,"All is mind, the universe is mental YouTube: keytoconsciousness",,"https://www.tiktok.com/@keytoconsciousness","https://www.tiktok.com/@keytoconsciousness/video/7325127205858643232",2200000,222500,2364
"Jason Rau",106900,5000000,1554,"business - realtalkcoachingllc@gmail.com Join My Free Discord⤵️ Get Coached By Me💪⤵️ All My Socials📱⬇️",,"https://www.tiktok.com/@jason.rau","https://www.tiktok.com/@jason.rau/video/7525551093560904990",1500000,208200,761
"Briantracy.daily",73100,1600000,68,,,"https://www.tiktok.com/@briantracey.daily","https://www.tiktok.com/@briantracey.daily/video/7544823918582959382",2100000,322200,783
"Grant lannin",669900,13700000,975,"Life romantic",,"https://www.tiktok.com/@mindhackz","https://www.tiktok.com/@mindhackz/video/7079876993721961770",205700,21100,109
"Scott Haug | Healer & Mentor",231500,1400000,583,"🪄 Law of Attraction, Healing, Mindset 🚀 Join the #1 Manifestation Course 👇",,"https://www.tiktok.com/@scotthaugofficial","https://www.tiktok.com/@scotthaugofficial/video/7086923934515334442",5800000,413400,3553
"Samanthaerin",21400,1000000,836,"1️⃣Follow me on INSTA for more tips✨ 2️⃣Join the membership 💸👇",,"https://www.tiktok.com/@samanthaerincoaching","https://www.tiktok.com/@samanthaerincoaching/video/7556400467937447181",375,46,2
"Becoming with Lex",373200,5000000,805,"Cheatcodes to life ⭐️ Author @The Affirmation Book Start manifesting here ⬇️",,"https://www.tiktok.com/@becomingwithlex","https://www.tiktok.com/@becomingwithlex/video/7556303504038481182",1567,211,1
"Law of attraction",31600,2600000,601,"Twitter: nor_mad_ SC: nor_madd BP: normad_lifestyle Reenavee52@gmail.com",,"https://www.tiktok.com/@nor_mad_","https://www.tiktok.com/@nor_mad_/video/7553672686413597959",491800,30700,1294
"Beyezza",8146,94300,344,"Your Guide for Beauty Click Here 👇",,"https://www.tiktok.com/@beyezzashop","https://www.tiktok.com/@beyezzashop/video/7206864574547758382",33800,990,3
