"creator_nickname","creator_followers","creator_hearts_total","creator_video_count","creator_bio","creator_bio_link","creator_page_url","video_url","plays","likes","comments"
"Motivational Insight",964600,53100000,1356,"for the broken.",,"https://www.tiktok.com/@motivationalinsight","https://www.tiktok.com/@motivationalinsight/video/7541937929329904927",912100,181100,266
"JB",837500,16900000,333,"jb@night.co",,"https://www.tiktok.com/@jb_copeland","https://www.tiktok.com/@jb_copeland/video/7355870206465461546",5100000,958000,1851
"Jonathan Brisco",1500000,25400000,177,"📧- matchapapii@masetalentgroup.com 👇🏾Grab E Book Letting Go When God Says So",,"https://www.tiktok.com/@matchapapii","https://www.tiktok.com/@matchapapii/video/7550009298084957454",1400000,205500,1071
"Aqua",37900,4800000,4054,"FL 🌴 Just A Lightskin Helping You With Dating ❤️‍🔥 For 1:1 Txt or Vid Calls ⬇️",,"https://www.tiktok.com/@yaboiiaqua","https://www.tiktok.com/@yaboiiaqua/video/7433932364633623854",131600,15700,77
"AnxieTEA",5574,132400,189,"Just a page where we can share our inner thoughts🖤",,"https://www.tiktok.com/@wokeupworried","https://www.tiktok.com/@wokeupworried/video/7529712257140362509",6432,234,4
"mandiaahh",410700,7900000,387,"☁️ ✈️ 🌎 Relatable",,"https://www.tiktok.com/@mandiaahh","https://www.tiktok.com/@mandiaahh/video/7182212516460662022",54900,2315,18
"Maree",1151,34400,794,"Healing is not linear. Grief is messy. Learning to love myself along the way ❤️",,"https://www.tiktok.com/@finding_peaceandjoy","https://www.tiktok.com/@finding_peaceandjoy/video/7535723749757226295",142200,13500,142
"kittykatlover777",1253,748400,127,"19 just survive somehow",,"https://www.tiktok.com/@kittykatlover777","https://www.tiktok.com/@kittykatlover777/video/7480445626119949598",905400,92700,231
"Zack Pemberton",34000,405700,214,"Inspire Others Christ is KING Business inquiries email below",,"https://www.tiktok.com/@zackpembertonmotivation","https://www.tiktok.com/@zackpembertonmotivation/video/7208535772788673838",507400,27700,139
"…",90300,4200000,599,"dm me with ideas for videos more personal to you",,"https://www.tiktok.com/@isolated.nights","https://www.tiktok.com/@isolated.nights/video/7281524550255414574",108200,5307,27
"Hi, Hello it's Anne ❤️",6700000,311200000,2299,"MY ONLY ACCOUNT!🫶🏼 big sis Anne❤️ anne@mypeopleknow.com",,"https://www.tiktok.com/@annnexmp","https://www.tiktok.com/@annnexmp/video/6940372720819424517",6500000,1100000,11800
"Moe",23400,464900,355,"It’s ok if you fall apart sometimes. Tacos fall apart & we still love them",,"https://www.tiktok.com/@postcardsfrommoe","https://www.tiktok.com/@postcardsfrommoe/video/7153007492841327918",107200,3090,53
"credobrand",65000,2000000,214,"credo - a guiding belief or principle l3huSn",,"https://www.tiktok.com/@credobrand","https://www.tiktok.com/@credobrand/video/7286421171569069358",4900000,500100,2492
"santi",386500,201200000,945,"THANK YOU FOR 385K ❤️ 📥 youfoundsantii@gmail.com Miami",,"https://www.tiktok.com/@youfoundsantii","https://www.tiktok.com/@youfoundsantii/video/7482192230275419435",5100000,755700,1391
"therealtorinobrown",188800,15200000,579,"Real Torino Brown This page is for mental health only! Not content it's therapy",,"https://www.tiktok.com/@therealtorinobrown","https://www.tiktok.com/@therealtorinobrown/video/7552249681527508254",89800,20800,85
"Motivational",40600,532100,102,"Motivational quotes ❤️.",,"https://www.tiktok.com/@motivational_quotees","https://www.tiktok.com/@motivational_quotees/video/7105839790494321966",498100,21800,93
"♱",1642,1200000,81,"𝒴𝑜𝓊’𝓇𝑒 𝓃𝑜𝓉 𝒶𝓁𝑜𝓃𝑒 ᥫ᭡",,"https://www.tiktok.com/@user.91028201","https://www.tiktok.com/@user.91028201/video/7502917691381009707",778700,144800,387
"ThinkingMind",119000,1200000,347,"The only limit is the one that you set for yourself 🫶Self-love/Healing🧘‍♀️",,"https://www.tiktok.com/@thinkingmind020","https://www.tiktok.com/@thinkingmind020/video/7431011910209883435",1000000,28200,442
"wafa",3765,582600,56,"why are you here ?",,"https://www.tiktok.com/@useriswafa","https://www.tiktok.com/@useriswafa/video/7245515334457773313",4300000,329600,1900
"Tik Tok Memaw",488300,9900000,583,"Brutal truths and book dates. tiktokmemaw@gmail.com @memawtalks",,"https://www.tiktok.com/@tiktokmemaw","https://www.tiktok.com/@tiktokmemaw/video/7546264031154277662",5100000,888100,10300
"Latenightsandsadthoughts",66800,19100000,156,"follow for more ❤️‍🩹",,"https://www.tiktok.com/@latenightsandsadthoughts","https://www.tiktok.com/@latenightsandsadthoughts/video/7551393887022058772",84400,12100,34
